Clase [K];rpm;temp;acel
1;1491.395662;194.7442091;22.33476063
1;1505.442505;197.8806019;21.24358086
1;1497.687211;199.0345778;22.30080732
1;1507.396785;192.5198744;21.16499807
1;1516.307756;197.2069801;21.55811441
1;1488.131738;194.9019882;22.16773731
1;1499.058729;198.8664582;21.0344709
1;1486.12156;193.4154139;22.36903326
1;1513.441083;193.8367089;22.2725679
1;1523.467035;199.915432;21.93074079
1;1516.703936;194.1908497;21.41209739
1;1520.330149;197.6685283;22.08582688
1;1517.432029;196.2326679;21.44082548
1;1486.684823;194.5841335;21.39031761
1;1505.318668;192.4175913;22.71684528
1;1527.054716;197.8489583;22.34260177
1;1495.642254;198.229066;22.1709036
1;1503.472738;199.9470405;21.26315143
1;1495.782074;196.453676;21.35317809
1;1479.788814;190.8394796;22.9126877
1;1504.944885;190.2902482;21.91355898
1;1517.425508;199.4498092;22.16238643
1;1504.400856;199.0273004;22.1388492
1;1512.330256;195.9790289;22.36370335
1;1509.700195;198.4892347;21.80505233
1;1502.658918;194.2640742;21.0894188
1;1497.291656;195.1455547;21.42696608
1;1525.75309;197.1640421;22.41845802
1;1519.848506;197.5550578;21.49228648
1;1504.774647;196.4433486;22.36408241
1;1479.027337;195.0813646;21.9699557
1;1508.596584;199.0829968;22.72444748
1;1500.926219;190.018744;21.23015061
1;1497.116049;192.7294906;22.52175951
1;1524.181851;198.1285131;21.25126665
1;1518.575966;196.431419;22.74582475
1;1495.170783;192.6537269;21.14053664
1;1521.254924;198.455454;21.7856301
1;1501.375261;190.6146748;22.81485409
1;1479.520369;196.0599218;21.3072167
1;1512.529644;191.0833837;21.23901474
1;1495.548567;195.952028;21.70317601
1;1502.72565;194.7689435;22.27917582
1;1486.311532;194.8486731;22.28585954
1;1487.747288;196.7400635;21.38589127
1;1494.079952;193.5255939;22.18265774
1;1489.335161;198.7288222;22.3469418
1;1483.101561;197.8483336;22.05604679
1;1491.118966;191.3533517;22.75062417
1;1485.220378;195.4908725;21.66573995
1;1506.547779;198.0864996;21.91464497
1;1489.79564;200.4622695;22.86105802
1;1479.408908;193.3512912;21.31309803
1;1505.342335;200.5951034;22.07339681
1;1484.321348;198.0264664;22.54100427
1;1500.500649;194.4129252;22.34152736
1;1490.114666;191.6943081;22.24419099
1;1500.764218;197.2583543;21.32783465
1;1476.353877;191.8156408;21.3097209
1;1472.736637;190.3245547;22.48435199
1;1474.923636;198.2144741;22.51092283
1;1483.137787;192.4132491;21.81310948
